Condition,Density,MetadataCondition,Prompt_SHA256
C1,D1,CLEAN,956989ebccbc412f1a5c35aa48881ca54c3d7a23923d89e7e27de9dadc7d0f3c
C2,D1,POISON-TD,99ee3c8bb6913f02763f24f3b11ab9b985d9c8975c8b7be164f541549811df97
C3,D1,POISON-CA,b4ae000700f828093afa7b8cb1b0395c6c9aba4ad8a8ee50976f436d21772730
C4,D3,CLEAN,65a3a5093085beb013027bf14f1269369ade975e46c78b08a992bcc6016262b5
C5,D3,POISON-TD,e5936f8756728c54e441640c719a428e00be4694becf8d642c507942b599fcf8
C6,D3,POISON-CA,65d54df876755efa98cafca632bf72ec01ef7f754f88a124f9ae35dbef328ade
C7,D5,CLEAN,40faf11288268b1ee30a0ffa5d37fa59863b9af27b42abbf622ddf0528e16054
C8,D5,POISON-TD,7d11c46a88a2692bb8b87c2748ce202623a280309edde487ef107bbb14312b6c
C9,D5,POISON-CA,95c646a7f3b3b99aed76cffcb058853cf72e2d9b5008d087a5cc4411349e7a70
